recording_id,num_following_events,num_ego_vehicles,num_union_intervals,following_ego_distance_m,following_ego_miles,following_ego_hours,num_all_vehicles,all_vehicle_distance_m,all_vehicle_miles,all_vehicle_hours
18,349,348,348,112287.98000000003,69.77251600652193,0.9284222222222227,607,242536.12999999974,150.70496425872886,2.1143111111111113
19,620,612,613,193292.78999999995,120.10657137318059,1.657599999999998,999,404615.41000000015,251.41635970929778,3.6366111111111086
20,740,735,736,241303.8700000001,149.9392733933827,2.104433333333332,1199,483680.7799999998,300.5453029308835,4.493777777777779
21,663,656,656,211697.8100000001,131.54292059373267,1.8185111111111105,1077,433570.27000000014,269.4080755885629,3.9150333333333274
22,445,442,442,149499.76000000004,92.89484411039531,1.3695444444444442,689,274708.5,170.69594816272965,2.6168333333333345
23,862,847,848,287347.5100000002,178.54946487512936,2.6807444444444464,1314,528664.0500000005,328.49661104151784,5.175011111111116
24,880,874,874,288982.00000000023,179.5650898751294,2.585088888888887,1297,521517.90999999945,324.0562055098223,4.885722222222221
25,2363,2240,2245,791851.8200000002,492.03390946870286,15.556799999999976,2850,1120372.2900000021,696.1670655869734,22.410022222222203
26,2231,2061,2075,724735.0199999985,450.3294634335471,11.459188888888853,2708,1074807.0900000008,667.85416293844,17.592477777777734
27,1831,1808,1808,598642.5799999988,371.97925365863284,5.827211111111102,2599,1047069.7999999997,650.6190099817067,10.556011111111104
28,1620,1599,1601,512994.0099999991,318.75969960431024,4.562977777777775,2372,961476.3400000001,597.4336996937883,9.069766666666661
29,1456,1428,1429,459100.9999999998,285.2721357273521,4.127177777777775,2152,873214.3300000005,542.5902293108251,8.385288888888883
30,1649,1617,1619,525993.3000000002,326.83708392984977,4.797866666666663,2479,1004830.6300000024,624.3728065596929,9.783899999999997
31,1523,1490,1491,483897.12999999966,300.679736588324,4.44861111111111,2254,916625.4299999997,569.5646362741587,8.962633333333319
32,881,866,866,273294.85,169.81754677682332,2.4419555555555563,1410,568180.5799999996,353.05104440069965,5.434733333333323
33,1466,1436,1436,467493.56999999966,290.4870369541873,4.261077777777777,2252,910897.2100000014,566.005285383362,8.890911111111135
34,1232,1208,1209,393120.2199999997,244.2735797940028,3.6475555555555523,1773,716465.9700000004,445.1913139763782,7.048755555555544
35,1200,1182,1183,370792.89999999985,230.40002634613845,3.2472111111111053,1992,805860.5899999992,500.7385555853808,7.6608111111111095
36,1654,1610,1613,520245.04000000015,323.2652807603596,4.9213888888888935,2543,1023141.1900000015,635.7504610574256,10.551033333333333
37,1199,1174,1174,372314.54999999906,231.3455358208059,3.300233333333338,1984,798443.6100000005,496.12985787998116,7.668122222222223
38,1491,1470,1471,469280.4899999999,291.59737756502017,4.133233333333335,2380,962627.2100000022,598.1488171577998,9.211844444444434
39,1410,1392,1392,443106.30000000057,275.33348991887414,3.8121111111111077,2191,880515.3100000006,547.1268479579261,8.059599999999993
40,1611,1599,1599,512919.11,318.71315890201225,4.417988888888889,2399,967435.6000000003,601.1366121848407,8.819555555555555
41,1636,1610,1610,520287.1899999997,323.2914715561121,4.452911111111094,2363,951993.5699999997,591.5413795931756,8.625522222222237
42,1732,1713,1715,564663.5600000003,350.86566949017754,4.9656222222222155,2444,985247.8500000007,612.2046312037704,9.11565555555555
43,1641,1619,1619,526868.1799999994,327.38070915851387,4.53854444444445,2271,920387.7599999994,571.9024397518489,8.370633333333313
44,1723,1706,1706,555788.4200000002,345.3509131671042,4.823999999999999,2549,1028178.3800000027,638.8804258132523,9.437511111111087
45,1714,1685,1685,543816.3500000007,337.9118137576557,4.709111111111113,2449,988098.7699999978,613.9761107631418,9.036044444444443
46,2051,2014,2016,673206.5499999997,418.3111565954822,7.062644444444434,2821,1128768.7899999989,701.3844088025921,12.090522222222221
47,1769,1745,1745,581496.2999999998,361.3250492125983,5.267355555555563,2462,994011.8299999993,617.6503159051136,9.474699999999984
48,1740,1713,1713,564498.929999999,350.7633731507987,4.954388888888893,2544,1028665.4800000002,639.1830957209895,9.638444444444431
49,1364,1346,1346,435521.5200000004,270.62052612741616,3.7585333333333355,2096,846455.7100000003,525.9631936987992,7.847788888888882
50,1323,1314,1314,419763.96000000054,260.8292322834649,3.615688888888884,2234,901225.4499999994,559.9955323411274,8.3723
51,1360,1349,1350,435818.32000000024,270.8049490972721,3.7211777777777786,2284,922398.1300000009,573.1516257555879,8.523488888888874
52,1282,1272,1272,405763.74000000017,252.1298988904797,3.451011111111107,2121,852383.719999999,529.6466883400932,7.891722222222235
53,1583,1568,1569,521488.72,324.0380676847212,4.576833333333324,2442,991864.369999999,616.3159461246315,9.295433333333326
54,1580,1559,1561,509305.11000000045,316.4675234132668,4.327333333333333,2343,947316.4599999993,588.6351581762502,8.57922222222223
55,1454,1438,1438,472175.4000000008,293.39619124314055,4.086822222222224,2190,886142.4600000017,550.6233968623251,8.168322222222224
56,1038,1025,1026,330376.1000000002,205.2861911437208,2.841855555555557,1795,724866.0400000004,450.41087548715524,6.758044444444438
57,1084,1078,1078,336333.0299999997,208.9876558398948,2.80315555555555,1919,775480.729999999,481.86138575717746,7.089455555555549
58,451,449,449,135721.07000000004,84.33316307762668,1.1754999999999989,714,274608.3500000002,170.63371783782722,2.583611111111109
59,406,403,403,122234.23999999999,75.9528354410244,1.0327111111111118,722,281052.2000000001,174.6377405949257,2.561088888888891
60,822,808,810,244117.05000000008,151.6873024039609,2.094222222222224,1467,585856.9099999983,364.0346066471794,5.544744444444443
